Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
79	6.407084	5.4242373	9.0	-5.9	10.861035	7.140036	3.7147093	13.423706	-13.759913	320000	-1.8626451e-09	10.914803	0.013866674	-4.100189	0.2696939	0.021458495	0.11925	1.0	10396.710216760635
80	6.2506924	5.5576463	9.0	-6.0	11.038781	7.168416	3.4960756	14.30459	-9.537313	324000	7.450581e-09	11.979153	0.0025752448	-3.955689	0.26705012	0.013255609	0.06	3.0	10504.75749874115
81	6.36411	5.48242	9.0	-6.0	10.879452	7.3621683	3.2854428	13.431504	-11.282377	328000	0.0	10.938759	0.0040357956	-4.102982	0.2624308	0.015990186	0.0785	1.0	10612.331498861313
82	6.52822	5.2959833	9.0	-6.0	10.882192	7.1259456	3.5950012	17.459585	-13.98319	332000	-7.450581e-09	11.212172	0.005846981	-4.924523	0.26077354	0.016435524	0.083749995	1.0	10720.660002708435
83	6.5094094	5.3590784	9.0	-6.1	10.712365	7.4465876	3.008341	15.824777	-11.813676	336000	-9.313226e-10	11.374868	-0.0020606052	-4.469244	0.26762736	0.01351059	0.0675	5.0	10830.531157016754
84	6.21084	5.6030955	9.0	-6.2	10.791327	7.196669	3.5073657	13.615893	-11.113807	340000	-9.313226e-09	12.085797	0.0027981459	-4.280486	0.2640094	0.018038118	0.1435	5.0	10937.50137424469
85	6.330055	5.4750624	9.0	-6.0	10.879782	7.194584	3.3796296	14.821557	-12.624135	344000	-1.8626451e-09	10.763704	-0.004526442	-4.1074004	0.27583164	0.0042790463	0.043250002	79.0	11046.224903583527
86	6.811111	5.055029	9.0	-6.5	11.055555	7.4224453	3.3283339	14.511777	-12.484237	348000	7.450581e-09	9.169979	-0.0061716074	-3.8183937	0.268709	0.0075122355	0.054	79.0	11155.532654047012
87	6.374247	5.4601116	9.0	-6.0	10.915069	7.3968344	3.2537994	14.167663	-10.080686	352000	-1.1175871e-08	10.909017	-0.005235453	-4.237605	0.26278886	0.004578123	0.05125	79.0	11265.171169996262
88	6.3537188	5.482872	9.0	-6.0	10.980717	7.216455	3.5469553	13.945687	-12.039046	356000	-1.5366822e-08	11.787565	0.0051909788	-4.165292	0.25615245	0.015550502	0.12324999	59.0	11374.201553583145
89	6.882353	4.963886	9.0	-6.0	11.148459	7.2496886	3.2541857	12.047245	-10.209809	360000	0.0	11.08435	-0.004927541	-4.4095545	0.2659561	0.0052099796	0.0445	79.0	11481.115798473358
90	5.984468	5.7833643	9.1	-6.0	10.86376	7.218562	3.3798308	16.469934	-10.740474	364000	-8.381903e-09	13.733377	-1.7022598e-05	-5.6544714	0.24916497	0.0128490785	0.12175	7.0	11590.064476966858
91	6.075339	5.729169	9.0	-6.3	10.791327	6.8716855	3.8376172	15.446573	-9.828306	368000	-4.656613e-10	12.957147	-0.0038936832	-4.6707788	0.24314132	0.0029700587	0.052249998	79.0	11699.215248823166
92	6.2658463	5.5589347	9.0	-6.3	10.838798	7.0924454	3.6669562	14.008318	-17.33645	372000	-7.450581e-09	9.8210945	-0.003725417	-4.28718	0.2518121	0.0054365313	0.069	79.0	11810.293413162231
93	6.9691877	4.872187	9.0	-5.9	11.120448	7.379077	3.3573983	12.530154	-11.578254	376000	-8.381903e-09	9.779101	-0.0006776077	-3.9070559	0.249458	0.015172971	0.09275	1.0	11917.718884706497
94	6.775275	5.0786176	9.0	-6.2	10.956044	7.5601277	3.2095053	19.32505	-14.973599	380000	1.0244548e-08	10.578665	0.00568195	-4.506206	0.24896698	0.014652239	0.09325	1.0	12026.95243883133
95	6.7495914	5.1199923	9.0	-6.1	10.841962	7.6610937	2.7668452	15.573709	-10.486806	384000	1.3038516e-08	9.895959	0.0018427037	-4.123471	0.24954979	0.012185201	0.0755	6.0	12135.765595197678
96	6.702193	5.155489	9.0	-6.4	10.923287	7.51762	3.3196173	14.530036	-15.756242	388000	-7.450581e-09	9.774672	0.0013743043	-4.242517	0.2404598	0.012074525	0.07975	5.0	12242.900067567825
97	6.6768804	5.115784	9.0	-6.1	11.086351	7.499463	3.288817	19.617163	-11.414651	392000	-1.1641532e-08	11.523815	-0.0035382733	-4.870925	0.22868177	0.0017308526	0.042999998	79.0	12351.08804988861
98	6.402487	5.4312906	9.0	-6.3	10.975138	7.367966	3.2828329	21.223673	-11.437123	396000	7.450581e-09	13.416626	-0.0032276497	-6.397896	0.22919461	0.013126441	0.077	71.0	12460.402510881424
99	6.596459	5.2709856	9.0	-6.0	10.87466	7.494177	3.06047	15.37734	-9.935043	400000	9.313226e-10	11.160802	-0.0042456435	-4.859865	0.22412688	0.0019480299	0.0425	79.0	12571.005163192749
100	7.066759	4.7797127	9.0	-5.9	11.049862	7.3578954	3.58227	15.786267	-13.368731	404000	3.7252903e-09	8.668458	-0.0014137187	-4.0428133	0.21004245	0.012059634	0.070250005	32.0	12681.935758590698
101	6.748895	5.0927434	9.0	-5.9	10.964088	7.5512886	3.323157	14.009291	-19.97691	408000	-6.519258e-09	10.725576	-0.0024530892	-4.3459496	0.22812122	0.002505167	0.0255	79.0	12790.369814395905
102	7.1217275	4.695043	9.0	-5.9	11.0947075	7.579563	3.054798	15.581035	-11.254762	412000	7.450581e-09	9.205912	0.00030969596	-4.09201	0.2109201	0.013020169	0.0755	49.0	12899.273517847061
103	6.888462	4.9886885	9.0	-5.9	10.923077	7.729783	2.995785	14.988063	-8.629858	416000	9.313226e-10	9.822685	0.011883733	-4.268992	0.2061685	0.027937647	0.11625	1.0	13007.091010570526
104	6.3453093	5.492989	9.0	-6.4	10.675603	7.315946	3.676797	13.745163	-17.599796	420000	5.5879354e-09	10.589428	-0.003275922	-4.495867	0.20707965	0.012942884	0.07425	65.0	13116.767475366592
105	6.4609165	5.4145217	9.0	-6.0	10.727763	7.1650324	3.769597	16.152418	-17.774942	424000	1.8626451e-09	10.036566	0.0052175648	-4.802409	0.20518312	0.017249784	0.09025	1.0	13226.536667585373
106	6.8263025	5.0314155	9.0	-6.0	10.915069	7.4957237	3.382286	13.124979	-11.952422	428000	3.7252903e-09	9.919815	0.0074111605	-4.749775	0.20880616	0.013042857	0.099	1.0	13334.31371974945
107	6.500275	5.33882	9.0	-5.9	10.958791	7.3209314	3.4475842	23.20038	-10.585012	432000	-1.1175871e-08	11.368515	0.0104660895	-5.0137033	0.20790346	0.027733846	0.11325	1.0	13443.548086643219
108	6.5058827	5.347069	9.0	-6.3	11.131653	7.491757	3.2913115	13.894689	-14.830307	436000	5.122274e-09	11.5581255	0.0017472728	-5.2920494	0.20309415	0.02049653	0.0915	2.0	13552.26445055008
109	7.145225	4.667092	9.0	-6.0	11.132023	7.4003706	3.3957598	17.61768	-17.592846	440000	-1.1175871e-08	9.042157	0.015399734	-4.6804457	0.2013976	0.02296582	0.1005	1.0	13660.328533649445
110	6.3349595	5.5113873	9.0	-6.0	10.769648	7.5359936	3.1685393	13.279529	-11.024384	444000	-1.4901161e-08	12.019847	0.00809139	-5.2005606	0.20312507	0.015142588	0.089999996	2.0	13769.593317985535
111	6.4366393	5.408768	9.0	-6.0	10.977962	6.8910604	3.9226036	12.497299	-11.712214	448000	1.3038516e-08	11.002611	0.013318516	-5.1012163	0.2062288	0.02104707	0.1025	1.0	13879.891521692276
112	6.8686275	4.989588	9.0	-6.3	11.1456585	7.4147573	3.4795501	16.430809	-14.991533	452000	0.0	10.860479	0.00073355983	-5.488883	0.19544724	0.012229882	0.06325	14.0	13989.310472488403
