Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
55	6.9893303	4.9956264	9.0	-5.8	9.883374	7.575954	3.8181603	11.420027	-7.8218846	224000	-3.259629e-09	5.286188	-0.0052698385	-0.7217316	0.19535272	0.0092427395	0.049999997	79.0	7897.084813594818
56	7.3527503	4.593064	9.0	-5.8	9.9725	7.859958	3.3573582	11.224233	-7.1984205	228000	-5.5879354e-09	3.3217258	-0.005482079	-0.5788633	0.19650728	0.0052735666	0.051000003	79.0	8043.267006635666
57	7.384713	4.5381637	9.0	-5.8	9.987469	7.8170204	3.329154	10.900963	-7.6733375	232000	-9.313226e-09	4.5779257	-0.005767985	-1.254885	0.19714451	0.01227014	0.050750002	37.0	8183.354296684265
58	7.127021	4.8263326	9.0	-5.8	10.04293	7.799033	3.4843392	13.435699	-7.5290303	236000	-1.4901161e-08	3.78415	-0.0033299103	-0.510844	0.21289569	0.012041419	0.071499996	16.0	8348.215125799179
59	7.2045007	4.7647963	9.0	-5.8	9.955	7.864752	3.3748329	13.023251	-7.1329308	240000	1.8626451e-09	3.9161274	-0.0051854355	-0.4227838	0.17801763	0.007108201	0.046	79.0	8510.769478797913
60	7.0437813	4.9195848	9.0	-5.8	9.910448	7.6302977	3.578645	11.15984	-8.176665	244000	-1.4901161e-08	4.22525	-0.0039690956	-0.45620435	0.18448846	0.012695674	0.06475	22.0	8663.549381017685
61	6.990075	4.9578066	9.1	-5.8	9.875931	7.8133745	3.4143696	12.57308	-7.338742	248000	7.450581e-09	4.4623537	-0.006961302	-0.7357365	0.19663012	0.008202746	0.06649999	79.0	8798.069521427155
62	7.0508685	4.907225	9.0	-5.7	9.888337	7.7277346	3.4818726	11.147439	-7.393737	252000	7.450581e-09	4.482629	-0.006963851	-0.6007353	0.19730821	0.005393856	0.04425	79.0	8932.011261224747
63	6.9309587	5.0453644	9.0	-5.8	9.805897	7.6892385	3.6243231	11.942032	-8.617297	256000	-3.7252903e-09	3.7566934	-0.005362708	-0.7019673	0.18669915	0.006543816	0.04875	79.0	9066.174845933914
64	6.5377455	5.4273	9.0	-5.8	9.745098	7.3836164	4.0656104	11.921306	-7.289589	260000	-1.8626451e-09	5.2908235	-0.0052993386	-0.74061525	0.18399027	0.005139848	0.04225	79.0	9198.683953046799
